"fare_id","price","currency_type","payment_method","transfers","agency_id"
"5_760","760","JPY","0","0","5290001021128"
"5_770","770","JPY","0","0","5290001021128"
"5_780","780","JPY","0","0","5290001021128"
"5_790","790","JPY","0","0","5290001021128"
"5_800","800","JPY","0","0","5290001021128"
"5_810","810","JPY","0","0","5290001021128"
"5_820","820","JPY","0","0","5290001021128"
"5_830","830","JPY","0","0","5290001021128"
"5_840","840","JPY","0","0","5290001021128"
"5_850","850","JPY","0","0","5290001021128"
"5_860","860","JPY","0","0","5290001021128"
"5_870","870","JPY","0","0","5290001021128"
"5_890","890","JPY","0","0","5290001021128"
"5_900","900","JPY","0","0","5290001021128"
"5_910","910","JPY","0","0","5290001021128"
"5_930","930","JPY","0","0","5290001021128"
"5_940","940","JPY","0","0","5290001021128"
"5_950","950","JPY","0","0","5290001021128"
"5_960","960","JPY","0","0","5290001021128"
"5_970","970","JPY","0","0","5290001021128"
"5_980","980","JPY","0","0","5290001021128"
"5_1000","1000","JPY","0","0","5290001021128"
"5_1010","1010","JPY","0","0","5290001021128"
"5_1020","1020","JPY","0","0","5290001021128"
"5_1030","1030","JPY","0","0","5290001021128"
"5_1040","1040","JPY","0","0","5290001021128"
"5_1050","1050","JPY","0","0","5290001021128"
"5_1070","1070","JPY","0","0","5290001021128"
"5_1080","1080","JPY","0","0","5290001021128"
"81_200","200","JPY","0","0","3000020412025"
"81_400","400","JPY","0","0","3000020412025"
"89_300","300","JPY","0","0","9000020412091"
"89_400","400","JPY","0","0","9000020412091"
"89_500","500","JPY","0","0","9000020412091"
